Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
James Boyd,Fiction,Fiction,07/02/1908,2/25/1944,7/2/1888 - 2/25/1944,"<p>James Boyd, born July 2, 1888, in Harrisburg, Pennsylvania, is regarded as an important historical novelist. He attended the Hill School, Princeton, and Trinity College. Boyd served in the U.S. Army Ambulance Service during WWI. Boyd had five novels published: <em>Drums </em>(1925)<em>, Marching On </em>(1927)<em>, Long Hunt </em>(1930)<em>, Roll River</em> (1935), and <em>Bitter Creek</em> (1939). He also published a number of short stories, poems, and plays. Before his death he revitalized a North Carolina weekly newspaper, the <em>Southern Pines Pilot</em>. Shortly after, James Boyd died on February 25, 1944, in Princeton, New Jersey from a heart attack.</p>","Harrisburg, PA",Dauphin County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Boyd%2C+James%2C+1888-1944"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Boyd__James"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Boyd__James.jpg,40.2737,-76.884418,Photo Credit: Weymouth Archives. Photograph of James Boyd. ca. 1941-1942. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://i.ontraport.com/146692.6cc98fd22d1d27cc5eec350c2504d1e6.PNG.,,"Harrisburg, PA | Dauphin County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Boyd__James"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Boyd%2C+James%2C+1888-1944"" target=""_blank"">PSU Catalog Link</a>"
Jennifer Finney Boylan,Nonfiction,Nonfiction | Fiction,06/22/1978,1/1/2050,Born: 6/22/1958,"<p>Celebrated author and transgender activist, Jennifer Finney Boylan was born in Valley Forge, Pennsylvania, and grew up in Newton Square and Devon, Pennsylvania. After coming out and transitioning in her 40s, Boylan has written prolifically about her experiences as a trans woman, particularly about her personal and familial struggles during this time. At the time of this writing, Boylan lives with her wife and her two children, partially in New York City and partially in Belgrade Lakes, Maine.</p>","Haverford, PA",Delaware County,http://jenniferboylan.net/about/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Boylan%2C+Jennifer+Finney%2C+1958-"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Boylan__Jennifer.jpg,40.014758,-75.30533,Photo Credit: Dan Haar. Photograph of Jenny Boylan. ca. 2019. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://jenniferboylan.net/wp-content/uploads/2019/08/jenny-boylan-headshot.jpg.,,"Haverford, PA | Delaware County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Boylan%2C+Jennifer+Finney%2C+1958-"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://jenniferboylan.net/about/"" target=""_blank"">Personal Website</a>"
Sandra Boynton,Children's,Children's,04/03/1973,1/1/2050,Born: 4/3/1953,"<p>The illustrator and author Sandra Boynton was born in New Jersey in 1953 and was raised in Philadelphia, Pennsylvania. She became a sensation in the 1980s when her humorous animal characters and clever text filled picture books and graced greeting cards, mugs, stickers, posters, stationery, and more. At the peak of her career in the mid '80s, she created some 150 designs and sold more than 80 million cards a year. The characters that adorn her cards were later brought to life through her children's books, and musical collections. Boynton has written and illustrated more than 40 books for children and seven books for adults. She has also designed more than 4,000 greeting cards and produced four music albums. Boynton currently lives in New York with her husband.</p>","Philadelphia, PA",Philadelphia County,https://www.sandraboynton.com,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Boynton%2C+Sandra"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Boynton_Sandra"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Boynton__Sandra.jpg,40.032995,-75.171091,Photo Credit:  Jamie McEwan. I took this photo. 9 Dec 2006. Photograph. Licensed under CC BY-SA 3.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://en.wikipedia.org/wiki/File:Boynton_DogTrain.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Boynton_Sandra"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Boynton%2C+Sandra"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.sandraboynton.com"" target=""_blank"">Personal Website</a>"
H. H. Brackenridge,Nonfiction,Nonfiction | Fiction,01/01/1768,6/25/1816,1748 - 6/25/1816,"<p>Hugh Henry Brackenridge was an early American scholar and writer. Writings such as <em>Law Miscellanies</em> (1814), and <em>Modern Chivalry</em> (1792) contributed to the history of the development of our nation. Brackenridge, who lived in many parts of Pennsylvania throughout his life, was an early American teacher, writer, lawyer, and Pennsylvania Supreme Court justice. He died in Carlisle, Pennsylvania in 1816.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brackenridge,+H.+H.+(Hugh+Henry),+1748-1816"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brackenridge__Hugh_Henry"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brackenridge__Hugh_Henry.jpg,40.437801,-80.000031,Photo Credit: Clayton Braun. Portrait of H. H. Brackenridge. Portrait. Licensed under Public Domain. Cropped to 4x3. Source: Dickinson College Archives and Special Collections. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Hugh_Henry_Brackenridge.jpg/489px-Hugh_Henry_Brackenridge.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brackenridge__Hugh_Henry"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brackenridge,+H.+H.+(Hugh+Henry),+1748-1816"" target=""_blank"">PSU Catalog Link</a>"
Ed Bradley,Journalism,Journalism,06/22/1961,11/9/2006,6/22/1941 - 11/9/2006,"<p>Journalist Ed Bradley was born in West Philadelphia and earned a degree in education at Cheyney University of Pennsylvania. Starting at a local radio station in the mid 1960s, Bradley became one of the first African American journalists on national television as a reporter for 60 Minutes in 1981. His work ranged from reports on the epidemic of homelessness among people with schizophrenia, to researching the fate of Emmett Till, to an exclusive interview with Oklahoma City bomber Timothy McVeigh. He reported for the show until his death in November of 2006. Read more <a href=""https://www.notablebiographies.com/Be-Br/Bradley-Ed.html"" target=""_blank"">here</a>.</p><p>""Ed Bradley Biography."" Encyclopedia of World Biography. 23 October 2020.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bradley%2C+Ed%2C+1941-2006"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bradley__Ed"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bradley__Edward_0.jpg,39.970517,-75.216085,"Photo Credit: Ed Bradley with Jimmy Carter by White House Photographer (NARA). 11 Sep 1978. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: National Archives: Carter White House Photographs Collection. Source: Online Resource. Source: Ed Bradley with Jimmy Carter by White House Photographer, 1978 (NARA).",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bradley__Ed"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bradley%2C+Ed%2C+1941-2006"" target=""_blank"">PSU Catalog Link</a>"
Robin F. Brancato,Young Adult (YA),Young Adult (YA) | Fiction,03/29/1956,1/1/2050,Born: 3/29/1936,"<p>A writer of books for young adults, Robin Brancato was born in Reading, Pennsylvania, in 1936. After a brief career as a copy editor, Brancato pursued a career in teaching and creative writing. She has written a number of books for young people, three of which won the American Library Association's Best Book Award. She lives in Teaneck, New Jersey.</p>","Reading, PA",Berks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brancato%2C+Robin+F."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brancato__Robin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brancato__Robin.jpg,40.335354,-75.927867,Photo Credit: Winning. ca. 1977. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Bantam Books. Source: Online Resource. Source: https://images.gr-assets.com/books/1516382159l/38101909.jpg.,,"Reading, PA | Berks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brancato__Robin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brancato%2C+Robin+F."" target=""_blank"">PSU Catalog Link</a>"
Aliki,Children's,Children's,09/03/1949,1/1/2050,Born: 9/3/1929,"<p>Greek-American Aliki Brandenberg was born in 1929 and took up an interest in drawing while in preschool. Graduating from the Philadelphia College of Art (formerly Philadelphia Museum School of Art), she would go on to publish many illustrated children's works, utilizing a comic book-style structure and dialogue narration, accompanying the explanatory text, along with well-researched scientific information. Aliki's various subjects include nature, fossils and dinosaurs, biographies, history and folklore, and childhood.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Aliki"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brandenberg__Aliki"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brandenberg__Aliki.jpg,39.955617,-75.16349,Photo Credit: Photograph of Aliki. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Harper Collins. Source: Online Resource. Source: https://images-na.ssl-images-amazon.com/images/I/A1F+ZstKcBL._SY600_.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brandenberg__Aliki"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Aliki"" target=""_blank"">PSU Catalog Link</a>"
Jim Brasfield,Poetry,Poetry,01/19/1972,1/1/2050,Born: 1/19/1952,"<p>James Brasfield earned his BA in English from Armstrong State University and his MFA from Columbia University. He has published poetry collections, including <em>Ledger of Crossroads</em> (2009) and <em>Infinite Altars</em> (2016), and has received fellowships in poetry from the Pennsylvania Council on the Arts and the National Endowment for the Arts. Brasfield was awarded two Senior Fulbright Fellowships to Ukraine, where he began translating the poetry of Ukrainian poet Oleh Lysheha. The resulting collection, <em>The Selected Poems of Oleh Lysheha</em> (1999), was awarded the American Association for Ukrainian Studies Prize for Translation and the 2000 PEN Award for Poetry in Translation. His poem ""Daylight Ghosts,"" from <em>Infinite Altars</em>, was selected for publication by the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2017"" target=""_blank"">Public Poetry Project of the Pennsylvania Center of the Book in 2017</a>. Brasfield retired from his position as a Senior Lecturer Emeritus at Penn State University in the spring of 2017 and at the time of this writing lives in State College, Pennsylvania.</p>","University Park, PA",Centre County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brasfield%2C+James"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brasfield__James"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brasfield__James.jpg,40.80285,-77.85375,"Photo Credit: Photograph of Jim Brasfield. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://1.bp.blogspot.com/_ExNKC0WSh-c/TOQaapkQ9OI/AAAAAAAAAUo/d0OFygK_rIA/s200/james_brasfield.JPG.",,"University Park, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brasfield__James"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brasfield%2C+James"" target=""_blank"">PSU Catalog Link</a>"
Edith Brecht,Children's,Children's,04/07/1915,8/16/1975,4/7/1895 - 8/16/1975,"<p>Children's author Edith Brecht was born in Lancaster, Pennsylvania, in 1895. Though her quest for education eventually took her to Philadelphia, her heart truly lay with the people and countryside of Lancaster County. Most of her books are based on experiences in the Lancaster area. Brecht died in Lancaster in 1975.</p>","Lancaster, PA",Lancaster County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brecht%2C+Edith"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brecht__Edith"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brecht__Edith.jpg,40.058969,-76.307212,"Photo Credit: The Mystery at the Old Forge. ca. 1966. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Viking Press. Source: Online Resource. New York.Source: https://images-na.ssl-images-amazon.com/images/I/616CX5pP7YL._SX326_BO1,204,203,200_.jpg.",,"Lancaster, PA | Lancaster County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brecht__Edith"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brecht%2C+Edith"" target=""_blank"">PSU Catalog Link</a>"
Barbara Brenner,Children's,Children's,06/26/1945,1/1/2050,Born: 6/26/1925,"<p>Barbara Brenner was born Barbara Lawrence on June 26, 1925, in Brooklyn, New York. She attended Seton Hall University (formerly College), Rutgers University, New York University, and New School for Social Research. She has also worked as a copyrighter at Prudential Insurance Co., freelance artist's agent, freelance writer, and senior editor for the Bank Street College of Education publications. Her literary career began in 1957 with the publication of <em>Somebody's Slippers, Somebody's Shoes</em>. At the time of this writing, Brenner lives with her husband, artist Fred Brenner, in Hawley, Pennsylvania.</p>","Hawley, PA",Wayne County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brenner%2C+Barbara"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brenner__Barbara"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brenner__Barbara.jpg,41.479121,-75.175161,Photo Credit: Wagon Wheels. ca. 1978. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: HarperCollins. Source: Online Resource. Source: https://images.gr-assets.com/books/1344750529l/859747.jpg.,,"Hawley, PA | Wayne County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brenner__Barbara"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brenner%2C+Barbara"" target=""_blank"">PSU Catalog Link</a>"
Clyde W. Bresee,Nonfiction,Nonfiction,02/02/1936,7/16/2011,2/2/1916 - 7/16/2011,"<p>Educator, counselor, and psychologist Clyde W. Bresee was born in Ulster, Pennsylvania, in 1916. He spent many of his formative years on James Island, South Carolina, a place that would become the focus of his writing life. Upon his return to Pennsylvania, he taught high school English before joining the Army in World War II. After the war, he proceeded with his educational career until he retired the 1970s and began his writing career. He has published a memoir of his time on James Island and a history of a local plantation family. Bresee lives in northeastern Pennsylvania.</p><p></p>","Athens, PA",Bradford County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bresee,+Clyde,+1916-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bresee__Clyde"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bresee__Clyde_W.jpg,41.962279,-76.520086,Photo Credit: Clyde Bresee (1916-2011). Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://loweryfuneralhome.com/tribute-images/1366/Ultra/Clyde-Bresee.jpg.,,"Athens, PA | Bradford County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bresee__Clyde"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bresee,+Clyde,+1916-"" target=""_blank"">PSU Catalog Link</a>"
Rita Mae Brown,Fiction,Fiction | Poetry,11/28/1964,1/1/2050,Born: 11/28/1944,"<p>Rita Mae Brown was born on November 28, 1944, in Hanover, Pennsylvania. Her family later moved to Fort Lauderdale, Florida, where she attended the University of Florida. Brown then moved to New York and received a BA degree in English and the classics and went on to receive a PhD from the Institute for Policy Studies in Washington DC. In 1973, she published her renowned novel <em>Rubyfruit Jungle</em>. During the 1970s, Brown cofounded the Furies and the Student Homophile League. In 1982, Brown was nominated for an Emmy and, later that year went on to win the Guild award. Brown later began to write novels coauthored with her cat Sneaky Pie. At the time of this writing, Rita Mae Brown resides on her farm in Charlottesville, Virginia.</p>","Hanover, PA",York County,https://www.ritamaebrownbooks.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brown%2C+Rita+Mae"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brown__Rita_Mae"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brown__Rita_Mae.jpg,39.81147,-76.983536,Photo Credit: Roger Ressmeyer. Press Photo. 1 May 1983. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Penguin Random House. Source: Online Resource. Source: https://scontent.fagc2-1.fna.fbcdn.net/v/t1.0-9/545310_451317554888246_224715904_n.jpg?_nc_cat=111&_nc_ht=scontent.fagc2-1.fna&oh=9d0484a4f8fcd8772343b9c42895cdaa&oe=5D08CE77.,,"Hanover, PA | York County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brown__Rita_Mae"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brown%2C+Rita+Mae"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.ritamaebrownbooks.com/"" target=""_blank"">Personal Website</a>"
Charles Brockden Brown,Fiction,Fiction,01/17/1791,2/20/1810,1/17/1771 - 2/20/1810,<p>Philadelphia native Charles Brockden Brown successfully published six novels and numerous pamphlets and essays. He also was founder and editor of two literary journals. He is best known for the novel <em>Wieland</em>(1798) and the periodical <em>The Literary Magazine and American Register</em>. Brown was the first American to earn a living as a writer.</p>,"Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brown%2C+Charles+Brockden%2C+1771-1810"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brown__Charles_Brockden"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brown__Charles_Brockden.jpg,39.951881,-75.146157,Photo Credit: Portrait of Charles Brockden Brown. Portrait. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/7/73/Charles_Brockden_Brown.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brown__Charles_Brockden"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brown%2C+Charles+Brockden%2C+1771-1810"" target=""_blank"">PSU Catalog Link</a>"
Marc Brown,Children's,Children's,11/25/1966,1/1/2050,Born: 11/25/1946,"<p>Marc Brown is an author and illustrator. Brown was born on November 25, 1946, in Erie, Pennsylvania. He attended the Cleveland Institute of Art and graduated in 1968. He is the creator of the popular and award-winning <em>Arthur </em>book series. The success of the series has spawned many other projects: the television series (onPublic Broadcasting System [PBS]) <em>Arthur's World</em> chapter books, and collaborations with his wife and fellow writer/illustrator Laurie Krasny Brown. Brown has won several major awards for his children's books, five Emmy Awards, and a Peabody Award. He has traveled the country talking to children about the <em>Arthur </em>series. At the time of this writing, Brown lives at Pilot Hill Farm on Martha's Vineyard, Massachusetts.</p>","Erie, PA",Erie County,http://marcbrownstudios.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brown%2C+Marc+Tolon"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brown__Marc_Tolon"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Brown__Marc_Tolon.jpg,42.12355,-80.081298,"Photo Credit: Mark Blevis. Marc Brown. 14 May 2007. Photograph. Licensed under CC BY-NC-SA 2.0. Cropped to 4x3, Blurred background. Source: Flickr. Source: https://bit.ly/3MlR9pP.",,"Erie, PA | Erie County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Brown__Marc_Tolon"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Brown%2C+Marc+Tolon"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://marcbrownstudios.com/"" target=""_blank"">Personal Website</a>"
Ashley Bryan,Children's,Children's,07/13/1943,2/4/2022,7/13/1923 - 2/4/2022,"<p>Children's book author Ashley Bryan taught at Lafayette College in Easton, Pennsylvania, was featured in the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2002"" target=""_blank"">2002 Public Poetry Project of the Pennsylvania Center for the Book</a>, and won the Pennsylvania Center for the Book's first <a href=""https://pabook.libraries.psu.edu/awards-contests/lee-bennett-hopkins-poetry-award?field_award_year_value=1993"" target=""_blank"">Lee Bennett Hopkins Award for Children's Poetry in 1993</a>. Read more <a href=""https://ashleybryancenter.org/index.html"" target=""_blank"">here</a>.</p><p><em>Ashley Bryan Center website.</em> 5 November 2018.</p>","Easton, PA",Northampton County,https://ashleybryancenter.org/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bryan%2C+Ashley"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bryan__Ashley"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bryan__Ashley.jpg,40.69862,-75.20873,"Photo Credit: Sue Hill. Ashley Bryan 01. 13 Apr 2009. Photograph. Licensed under CC BY-SA 4.0. Cropped to 4x3. Source: Wikimedia Commons. Islesford, ME.Source: https://commons.wikimedia.org/w/index.php?title=Special:Search&redirs=0&search=Ashley%20Bryan&fulltext=Search&ns0=1&ns6=1&ns14=1&title=Special:Search&advanced=1&fulltext=Advanced%20search#/media/File:Ashley_Bryan_01.jpg.",,"Easton, PA | Northampton County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bryan__Ashley"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bryan%2C+Ashley"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://ashleybryancenter.org/"" target=""_blank"">Personal Website</a>"
Pearl S. Buck,Fiction,Fiction,06/26/1912,3/6/1973,6/26/1892 - 3/6/1973,"<p>Pearl S. Buck was born in America in 1892, but she spent much of her childhood and young adult life in China. After earning degrees from Randolph-Macon Woman's College and Cornell University, she published several award-winning novels, including the Pulitzer Prize winner <em>The Good Earth.</em> The first American woman to win the Nobel Prize for Literature, Buck wrote over 70 books in her lifetime. An advocate of foreign adoptions, Buck adopted seven children and had one biological daughter. Her dedication to humanitarian issues resulted in the creation of two organizations, Welcome House and Pearl S. Buck International. She died in 1973 at the age of 80.</p>","Dublin, PA",Bucks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Buck%2C+Pearl+S.+(Pearl+Sydenstricker)%2C+1892-1973"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Buck__Pearl"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Buck__Pearl_S_0.jpg,40.359797,-75.219374,"Photo Credit: Pearl S. Buck — at time of winning lovely Nobel Prize for Literature in 1938. 1 Dec 1938. Photograph. Licensed under Public Domain. Cropped to 4x3, Filled background. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/b/bf/Pearl_Buck_%28Nobel%29.jpg.",,"Dublin, PA | Bucks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Buck__Pearl"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Buck%2C+Pearl+S.+(Pearl+Sydenstricker)%2C+1892-1973"" target=""_blank"">PSU Catalog Link</a>"
"Marjorie ""Marge"" Buell",Graphic/Comic,Graphic/Comic,12/10/1924,5/30/1993,12/10/1904 - 5/30/1993,"<p>Born in 1904, Marjorie Henderson Buell was an American cartoonist, most famous for creating the comic strip ""Little Lulu."" The strip debuted in the <em>Saturday Evening Post</em> on February 23, 1935, and ran weekly for the next ten years. ""Little Lulu"" was a curly haired girl, much given to mischief. Lulu's popularity grew as Buell engaged in various business merchandising and advertising, making Lulu the advertising icon for Kleenex Tissues. ""Little Lulu"" still remains popular after Buell's death in 1993.</p>","Malvern, PA",Chester County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Marge,+1904-1993"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Buell__Marjorie"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Buell__Marjorie.jpg,40.04078,-75.507128,Photo Credit: Historical Society Of Pennsylvania. Photograph of (Marge) Marjorie Buell. ca. 1939. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://digitallibrary.hsp.org/media/hsp_dams/images/1/0/5/7/19177_ca_object_representations_media_105706_large.jpg.,,"Malvern, PA | Chester County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Buell__Marjorie"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Marge,+1904-1993"" target=""_blank"">PSU Catalog Link</a>"
