Common Name,Vocation,Combined Vocations,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Aaron T. Beck,Education,Education,07/18/1941,1/1/2050,Born: 7/18/1921,"<p>Born in 1921, Aaron T. Beck is a Rhode Island native. After graduating from Brown University and Yale Medical School, Dr. Aaron Beck settled in Pennsylvania. After extensive research and development of new ways to look at issues in psychology and psychiatry such as suicide, depression, and addiction, he is considered one of the most influential figures in cognitive therapy. Beck began working at the University of Pennsylvania in 1954, where he is a professor of psychiatry and the president of the Beck Institute for Cognitive Therapy and Research.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Beck%2C+Aaron+T."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Beck__Aaron_Temkin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Beck__Aaron_T.jpg,39.956423,-75.193911,"Photo Credit: Slicata. Aaron T. Beck, spring 2016. 14 Apr 2016. Photograph. Licensed under CC BY-SA 4.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/f/ff/Aaron_Beck_2016.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Beck__Aaron_Temkin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Beck%2C+Aaron+T."" target=""_blank"">PSU Catalog Link</a>"
Robin Becker,Literary,Literary,03/07/1971,1/1/2050,Born: 3/7/1951,"<p>Robin Becker was born in Philadelphia and attended Boston University. She has taught at the Massachusetts Institute of Technology and is currently a Professor of English and Women's Studies at Pennsylvania State University (Penn State). In 2010, she was selected as the Penn State Laureate, and she is the author of seven collections of poems and a scholar of Lesbian and Gay Studies. <em>All-American Girl</em> and <em>The Horse Fair</em> received nominations for the Lambda Literary Award, and <em>All-American Girl</em> won that prize in 1996. She has been honored by the George W. Atherton Award for Excellence in Teaching and The Robin Becker Chapbook Prize, named for her by Seven Kitchens Press. At the time of this writing, Becker is a Penn State Liberal Arts Research Professor Emeritus of English and Women's Studies and continues to publish poetry.</p>","University Park, PA",Centre County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Becker%2C+Robin%2C+1951-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Becker__Robin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Becker__Robin.jpg,40.797597,-77.864936,Photo Credit: slowking4. reading at politics and prose. 6 May 2018. Photograph. Licensed under CC BY-NC 3.0. Cropped to 4x3. Source: Wikimedia Commons. Washington D.C..Source: https://commons.wikimedia.org/w/index.php?title=Special:Search&redirs=0&search=Robin%20Becker&fulltext=Search&ns0=1&ns6=1&ns14=1&title=Special:Search&advanced=1&fulltext=Advanced%20search#/media/File:Robin_becker_5060098.jpg.,,"University Park, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Becker__Robin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Becker%2C+Robin%2C+1951-"" target=""_blank"">PSU Catalog Link</a>"
Elizabeth Becker-Pinkston,Athletics,Athletics,03/06/1923,4/6/1989,3/6/1903 - 4/6/1989,"<p><strong>Photo Credit: </strong>""<a href=""https://www.olympicgameswinners.com/images/photos/B/Becker-Pinkston_Elizabeth_9764.jpg"">Becker-Pinkston, Elizabeth.</a>"" Photograph. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3, Filled background. Source: Online Resource. </p>","Philadelphia, PA",Philadelphia County,,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Becker-Pinkston__Elizabeth.jpg,39.985446,-75.166999,"Photo Credit: Becker-Pinkston, Elizabeth. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.olympicgameswinners.com/images/photos/B/Becker-Pinkston_Elizabeth_9764.jpg.",,"Philadelphia, PA | Philadelphia County",
Chuck Bednarik,Athletics,Athletics,05/01/1945,3/21/2015,5/1/1925 - 3/21/2015,"<p>Charles Phillip ""Chuck"" Bednarik was born on May 1, 1925 in Bethlehem, Pennsylvania. He began to play football at Liberty High School. Upon graduation from high school, Bednarik entered the United States Army Air Forces. He returned home to attend and play football at the University of Pennsylvania. He was then drafted in the first round with the first overall pick by the Philadelphia Eagles. He went on to become a college and pro football hall of famer and one of the greatest players to ever play the game of football, on both sides of the ball.</p>","Bethlehem, PA",Northampton County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bednarik__Chuck"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bednarik__Chuck.jpg,40.608226,-75.369285,Photo Credit: Bowman Gum. Chuck Bednarik. ca. 1952. Football Card. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/8/8c/ChuckBednarik1952Bowman.jpg.,,"Bethlehem, PA | Northampton County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bednarik__Chuck"" target=""_blank"">Expanded Biography</a>",
Ernst Behrend,Business,Business,03/29/1889,9/20/1940,3/29/1869 - 9/20/1940,"<p>Born in Coeslin, Germany on March 29, 1869, Ernst Richard Behrend moved to Erie, Pennsylvania in 1898 to found the Hammermill Paper Company with his family. In 1903, he and his brother, Dr. Otto Behrend, received a patent for a high-speed watermarking device. He was a founder of the National Industrial Conference Board. Behrend died at home on September 22, 1940.</p>","Erie, PA",Erie County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Behrend__Ernst"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Behrend__Ernst.jpg,42.109757,-79.991423,"Photo Credit: Penn State Behrend. Ernst Behrend. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://behrend.psu.edu/sites/behrend/files/styles/photo_gallery_large/public/ernst_behrend_portrait_scan.jpg?itok=BtzSYfWT.",,"Erie, PA | Erie County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Behrend__Ernst"" target=""_blank"">Expanded Biography</a>",
Andrew W.M. Beierle,Literary,Literary,08/05/1971,1/1/2050,Born: 8/5/1951,"<p>Andrew W. M. Beierle was born in 1951 in New York City and reared in Bucks County, Pennsylvania. After graduating with BA degree in Journalism from the Pennsylvania State University, he began his career at the <em>Orlando Sentinel </em>and has been a journalist for more than thirty years. His work as an editor at Brown and Emory universities has been honored repeatedly by the Council for Advancement and Support of Education. His debut novel, <em>The Winter of Our Discotheque</em>, received a 2002 Lambda Literary Award. His second novel, <em>First Person Plural</em> (2007), tells the story of conjoined twins (one gay, one straight) and finding love, and it also won a Lambda Literary Award in 2007.</p>","University Park, PA",Centre County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Beierle%2C+Andrew+W.+M."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Beierle__Andrew"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Beierle__Andrew.jpg,40.796463,-77.864869,Photo Credit: First Person Plural. ca. 2007. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Kensington Publishing Corporation . Source: Online Resource. Source: https://images.gr-assets.com/books/1442716895l/379956.jpg.,,"University Park, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Beierle__Andrew"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Beierle%2C+Andrew+W.+M."" target=""_blank"">PSU Catalog Link</a>"
Bert Bell,Athletics,Athletics,02/25/1915,10/10/1959,2/25/1895 - 10/10/1959,"<p>Bert Bell was born in Philadelphia, Pennsylvania on February 25, 1895. Bell attended Haverford Preparatory School and learned of his many athletic talents. He enrolled at the University of Pennsylvania in 1915, where he attended classes and played football. After college, Bell purchased the Philadelphia Eagles in 1933, and in 1940, traded the franchise for the Pittsburgh Steelers. Bell sold the Steelers franchise and was elected Commissioner of the National Football League in 1946. Bert Bell died on October, 11, 1959, at Philadelphia's Franklin Field. Four years after Bell's death, he was inducted in the Football Hall of Fame.</p>","Philadelphia, PA",Philadelphia County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bell__Bert"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bell__Bert.jpg,39.950288,-75.17743,Photo Credit: Abbie Rowe. Bert Bell. 15 Sep 1949. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: National Archives and Records Administration. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/5/5f/Bert_Bell..._-_NARA_-_200160.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bell__Bert"" target=""_blank"">Expanded Biography</a>",
"James ""Cool Papa"" Bell",Athletics,Athletics,05/17/1923,3/7/1991,5/17/1903 - 3/7/1991,"<p>Born in Starkville, Mississippi, in 1903, James ""Cool Papa"" Bell is often regarded as the fastest man to ever play the game of baseball. James Thomas Bell began his baseball career as a pitcher for the St. Louis Stars of the Negro League in 1922. He later became a member of the greatly successful Pittsburgh Crawfords where he excelled as an outfielder, leadoff hitter, and base-stealer. His career lasted for nearly 20 years, during which time he played for a number of teams. In 1974, the Negro League Committee elected him to the National Baseball Hall of Fame. Bell died on March 7, 1991. </p>","Homestead, PA",Allegheny County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bell__James_Cool_Papa"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bell__James_Cool_Papa.jpg,40.40919,-79.91212,"Photo Credit: Bell, Cool Papa. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Encyclopædia Britannica. Source: Online Resource. Source: https://www.britannica.com/biography/Cool-Papa-Bell/images-videos#/media/1/59592/241141.",,"Homestead, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bell__James_Cool_Papa"" target=""_blank"">Expanded Biography</a>",
Louis Bellinger,Art & Design,Art & Design,09/29/1891 ,2/3/1946,9/29/1891 - 2/03/1946 ,"<p>Born in Sumter, South Carolina, on September 29, 1891, Louis Bellinger became the only African American architect in Pittsburgh and one of only sixty in the nation when he produced his major architectural contributions in the 1930s. Bellinger began his career as a professor of mathematics before moving to Pittsburgh to practice architecture. His two major contributions to the Pittsburgh landscape were Greenlee Field, home of the professional Negro League baseball team, the Pittsburgh Crawfords, and the Pythian Temple, used by the Hill District’s chapter of the Knights of Pythias. Bellinger’s architectural career spanned nearly three decades. He died unexpectedly on February 6, 1946. </p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bellinger%2C+Louis+A. S.%2C+1891-1946"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bellinger_Louis"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bellinger_Louis.jpg,40.44437,-79.980257,Photo Credit: PACFTB. Initials of Louis Bellinger. ca. 2023. Initials. Licensed under Fair Use. Cropped to 4x3. ,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bellinger_Louis"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bellinger%2C+Louis+A. S.%2C+1891-1946"" target=""_blank"">PSU Catalog Link</a>"
Donald P. Bellisario,Literary,Literary | Entertainment,08/08/1955,1/1/2050,Born: 8/8/1935,"<p>Born in Charleroi, Pennsylvania, in 1935, Donald P. Bellisario has had an admirable career as a television writer, producer, and executive director of famous, military-themed shows. With over ten television show productions, two books, two screenplays, and a television movie, Bellisario has received many awards for his dedication and hard work. Some of these include the Edgar Allan Poe Award, as well as a Writers Guild of America Award nomination for best television show.</p>","Charleroi, PA",Washington County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bellisario_Donald_Paul"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bellisario__Donald_Paul_0.jpg,40.137164,-79.899488,"Photo Credit: John Beale. In honor of a $30 million gift by alumnus Don Bellisario, the College of Communications has been renamed in the television producer's honor. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Penn State News. Source: Online Resource. Source: https://news.psu.edu/sites/default/files/styles/photo_gallery_large/public/Donald%20Bellisario%2016%281%29.jpg?itok=o_CiYa8i.",,"Charleroi, PA | Washington County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bellisario_Donald_Paul"" target=""_blank"">Expanded Biography</a>",
William Rose Benét,Literary,Literary,02/02/1906,5/4/1950,2/2/1886 - 5/4/1950,"<p>William Rose Benét grew up in Bethlehem. He was a Pulitzer Prize-winning poet and editor who left behind much writing and numerous editing projects. He is best known for founding and writing columns for <em>The Saturday Review of Literature</em>, one of the leading voices in the literary world for years. He also was a poet, winning the 1942 Pulitzer Prize. Benét died in 1950.</p>","Bethlehem, PA",Lehigh County,,"<a href=""https://catalog.libraries.psu.edu/catalog?f%5Ball_authors_facet%5D%5B%5D=Ben%C3%A9t%2C+William+Rose%2C+1886-1950"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benet__William_Rose"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Benet__William_Rose.jpg,40.606815,-75.393647,"Photo Credit: St. Augustine Historical Society. William Rose Benét. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.staugustine.com/storyimage/LK/20130819/NEWS/308199987/EP/1/1/EP-308199987.jpg.",,"Bethlehem, PA | Lehigh County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benet__William_Rose"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/catalog?f%5Ball_authors_facet%5D%5B%5D=Ben%C3%A9t%2C+William+Rose%2C+1886-1950"" target=""_blank"">PSU Catalog Link</a>"
Stephen Vincent Benét,Literary,Literary,07/22/1918,3/14/1943,7/22/1898 - 3/14/1943,"<p>Pulitzer Prize-winning poet Stephen Vincent Benét was born in Bethlehem in 1898. After a well-traveled youth, Benét began a prolific writing career. Though he wrote many short stories for sale to magazines, he felt they distracted him from his main project, the long poem. He was able to complete <em>John Brown's Body</em> (1928), a book length ""cyclorama"" about the American Civil War. During the early years of World War II, Benét did a lot of writing for the government in broadcasts and patriotic articles. He completed the first volume of a planned five book chronicle of American history, <em>Western Star</em>, at the time of his death in March 1943.</p>","Bethlehem, PA",Lehigh County,,"<a href=""https://catalog.libraries.psu.edu/catalog?f%5Ball_authors_facet%5D%5B%5D=Ben%C3%A9t%2C+Stephen+Vincent%2C+1898-1943"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benet__Stephen_Vincent"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Benet__Stephen_Vincent.jpg,40.630881,-75.381214,Photo Credit: Yale College. Photograph of Stephen Vincent Benét. ca. 1919. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Yale University Manuscripts & Archives Digital Images Database. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/7/7a/Stephen_Vincent_Ben%C3%A9t_Yale_College_BA_1919.jpg.,,"Bethlehem, PA | Lehigh County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benet__Stephen_Vincent"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/catalog?f%5Ball_authors_facet%5D%5B%5D=Ben%C3%A9t%2C+Stephen+Vincent%2C+1898-1943"" target=""_blank"">PSU Catalog Link</a>"
Anthony Benezet,Education,Education,01/31/1733,5/3/1778,1/31/1713 - 5/3/1778,"<p>Anthony Benezet was born in St. Quentin, France, in 1713. As an infant his family moved to London. At age 18 he and his family moved to Philadelphia and it was here that Anthony would live most of his life. He spent his life as a caring teacher and was a rare outspoken voice for the rights of blacks in America. Benezet wrote many letters and pamphlets on the immorality of slavery and published them at his own expense, distributing them in America and Britain. His life was dedicated to helping the less fortunate. He died in May of 1784.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Benezet%2C+Anthony%2C+1713-1784"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benezet__Anthony"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Benezet__Anthony.jpg,39.94904,-75.14721,"Photo Credit: Anthony Benezet instructing colored children. before 1850. Portrait. Licensed under Fair Use. Cropped to 4x3. Source: Wikimedia Commons. Historical poetical and pictorial American scenes / by J.W. Barber, 1850.Source: https://upload.wikimedia.org/wikipedia/commons/7/77/Benezet.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benezet__Anthony"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Benezet%2C+Anthony%2C+1713-1784"" target=""_blank"">PSU Catalog Link</a>"
Ruth L. Bennett,Education,Education,06/21/1886,2/24/1947,6/21/1866 - 02/24/1947,"<p><strong>Photo Credit: </strong>""<a href=""https://swarthmorephoenix.com/wp-content/uploads/2016/04/ruthbennet-800x445.jpg"">Portrait of Ruth L. Bennett.</a>"" Portrait. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3. Source: Knight, Isabel. ""Documenting Oral Histories of Ruth L. Bennett."" The Phoenix. 4 Apr 2016.. Source: Online Resource. </p>","Chester, PA",Delaware County,,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bennett__Ruth.jpg,39.83633,-75.38052,"Photo Credit: Portrait of Ruth L. Bennett. Portrait. Licensed under Fair Use. Cropped to 4x3. Source: Knight, Isabel. ""Documenting Oral Histories of Ruth L. Bennett."" The Phoenix. 4 Apr 2016.. Source: Online Resource. Source: https://swarthmorephoenix.com/wp-content/uploads/2016/04/ruthbennet-800x445.jpg.",,"Chester, PA | Delaware County",
Gwendolyn Bennett,Literary,Literary,07/08/1922,5/30/1981,7/8/1902 - 5/30/1981,"<p>Gwendolyn Bennett was born on July 8, 1902, in Giddings, Texas, to Joshua and Maime Bennett. She attended Brooklyn Girls' High in New York, and she later studied fine arts at Columbia University and Pratt Institute. Bennett quickly became involved in the Harlem Renaissance movement, and she wrote a column entitled ""The Ebony Flute"" for the magazine <em>Opportunity.</em> She also published two short stories and a variety of poems, all focusing on the African-American experience in the United States at that time. In her later years, Bennett lived in Kutztown, Pennsylvania. She died on May 30, 1981, in Reading, Pennsylvania.</p>","Kutztown, PA",Berks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bennett,+Gwendolyn,+1902-1981"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bennett__Gwendolyn"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bennett__Gwendolyn_B.jpg,40.517927,-75.776813,Photo Credit: NYPL Digital Archives. Gwendolyn Bennett. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://exhibitions.nypl.org/africanaage/essay-renaissance.html.,,"Kutztown, PA | Berks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bennett__Gwendolyn"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bennett,+Gwendolyn,+1902-1981"" target=""_blank"">PSU Catalog Link</a>"
George Benson,Entertainment,Entertainment,03/20/1963,1/1/2050,Born: 3/20/1943,"<p>George Benson was born on March 22, 1943, in Pittsburgh, Pennsylvania. He is perhaps one of the greatest jazz guitarists of all time. After beginning his recording career at the age of 21, Benson played with a number of renowned jazz artists during the 1960s, including Jack McDuff and Miles Davis. His breakthrough success came in the 1970s with his 1976 release <em>Breezin'</em>, which included the title track and ""This Masquerade."" Other hit albums followed, including <em>Give Me the Night</em> in 1980, and a hit single, ""Turn Your Love Around"" in 1981. He has recorded several gold and platinum albums and has won numerous awards, including eight Grammies. Benson has been one of the busiest entertainers in the business, continuing to record and perform throughout the 1980s, 1990s and 2000s. Known mostly as a jazz guitarist, Benson is also a pop, R&B, and scat singer, and songwriter. </p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Benson%2C+George%2C+1943-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benson__George"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Benson__George.jpg,40.4442,-79.9887,Photo Credit: Robbie Drexhage. George Benson in concert. 11 Nov 2018. Photograph. Licensed under CC BY-NC-SA 4.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/e/e0/George_Benson.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benson__George"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Benson%2C+George%2C+1943-"" target=""_blank"">PSU Catalog Link</a>"
Pearl Bucklen Bentel,Literary,Literary | Entertainment,10/23/1922,4/1/1986,10/23/1902 - 4/1/1986,"<p>Born in Rochester, Pennsylvania, in 1901, Pearl Bentel was well known locally for writing radio serials for the Pittsburgh station WWSW. During her life, she wrote four novels three of which about college life for women and continued to write for radio stationsuntil her death in 1986.</p>","Rochester, PA",Beaver County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bentel__Pearl_Bucklen"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bentel__Pearl_Bucklen.jpg,40.701578,-80.285289,Photo Credit: Portrait of Pearl Bucklen Bentel. Portrait. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://ww1.prweb.com/prfiles/2011/03/16/9234145/memainCrosshatch.jpg.,,"Rochester, PA | Beaver County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bentel__Pearl_Bucklen"" target=""_blank"">Expanded Biography</a>",
Richard Benyo,Literary,Literary | Athletics,04/20/1966,1/1/2050,Born: 4/20/1946,"<p>Marathon guru and journalist Richard Benyo was born in Jim Thorpe, Pennsylvania, in 1946. Following college, he became a newspaper editor in neighboring Lehighton and then moved on to magazine editing. He spent a number of years affiliated with <em>Runner's World</em> and served as editor of <em>Marathon & Beyond</em> magazine between 1997-2015.</p>","Jim Thorpe, PA",Carbon County,http://www.richardbenyo.com,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Benyo%2C+Richard"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benyo__Richard"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Benyo__Richard.jpg,40.879778,-75.724187,Photo Credit: Marathon & Beyond. Photograph of Richard Benyo. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://marathonandbeyond.com/wp-content/uploads/2012/02/Rich_web-150x150.jpg.,,"Jim Thorpe, PA | Carbon County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Benyo__Richard"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Benyo%2C+Richard"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.richardbenyo.com"" target=""_blank"">Personal Website</a>"
Felix-Joseph Barbelin,Religion,Religion,05/30/1828,6/8/1869,5/30/1808 - 6/8/1869,"<p><strong>Photo Credit: </strong>""<a href=""https://4.bp.blogspot.com/-VCRkcgeQmxc/UP6ivTbDlcI/AAAAAAAAAIM/I6BnNGlSwtU/s640/card+of+barbelin1.TIF"">A card-sized, collectible photograph of founder Felix Barbelin, S.J., on loan from the Philadelphia Archdiocesan Historical Research Center.</a>"" Photograph. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3. Source: Online Resource. Philadelphia Archdiocesan Historical Research Center (PAHRC).</p>","Philadelphia, PA",Philadelphia County,,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Berbelin__Felix-Joseph.jpg,39.995457,-75.237873,"Photo Credit: A card-sized, collectible photograph of founder Felix Barbelin, S.J., on loan from the Philadelphia Archdiocesan Historical Research Center. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Philadelphia Archdiocesan Historical Research Center (PAHRC).Source: https://4.bp.blogspot.com/-VCRkcgeQmxc/UP6ivTbDlcI/AAAAAAAAAIM/I6BnNGlSwtU/s640/card+of+barbelin1.TIF.",,"Philadelphia, PA | Philadelphia County",
Jan Berenstain,Literary,Literary,07/26/1943,2/24/2012,7/26/1923 - 2/24/2012,"<p>Award-winning children's book author of The Berenstain Bears series Jan Berenstain was born in Philadelphia, Pennsylvania, in 1923 and attended The Philadelphia College of Art. Read more <a href=""https://www.berenstainbears.com/about.html"" target=""_blank"">here</a>.</p><p>About the Berenstains. The Berenstain Bears website. 2018. 5 November 2018.</p>","Solebury, PA",Bucks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Berenstain%2C+Jan%2C+1923-2012"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Berenstain__Jan"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Berenstain__Jan.jpg,40.309607,-75.131366,Photo Credit: Photograph of Jan Berenstain. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.museumofplay.org/sites/default/files/styles/large/public/Jan-Stan.jpg?itok=bWg0TE5V.,,"Solebury, PA | Bucks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Berenstain__Jan"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Berenstain%2C+Jan%2C+1923-2012"" target=""_blank"">PSU Catalog Link</a>"
